name,date,link,price,ticket_open_date
KT와 함께하는 예술의전당 마음을 담은 클래식(3월),2024-03-22,https://www.sac.or.kr/site/main/show/show_view?SN=60243,"일반석 30,000원 / 3층석 15,000원",2024-01-18
존 윌리엄스 영화음악 콘서트 ,2024-03-23,https://www.sac.or.kr/site/main/show/show_view?SN=60904,"R석 70,000원 / S석 50,000원 / A석 30,000원 / B석 10,000원",2024-02-28
"희망을 노래하다 - 봄, 여름, 가을, 겨울",2024-03-24,https://www.sac.or.kr/site/main/show/show_view?SN=62241,"R석 70,000원 / S석 50,000원 / A석 30,000원 / B석 20,000원",2024-03-05
스타인웨이 프라이즈위너 페스티벌 HEROES ON THE PIANO,2024-03-26,https://www.sac.or.kr/site/main/show/show_view?SN=60806,"R석 110,000원 | S석 80,000원 | A석 50,000원 | B석 30,000원 ",2024-02-15
스타인웨이 프라이즈위너 페스티벌 HEROES ON THE PIANO,2024-03-27,https://www.sac.or.kr/site/main/show/show_view?SN=60805,"R석 110,000원 | S석 80,000원 | A석 50,000원 | B석 30,000원 ",2024-02-15
2024 서울시향 얍 판 츠베덴과 토머스 햄프슨 ①,2024-03-28,https://www.sac.or.kr/site/main/show/show_view?SN=60776,"R석 120,000원 / S석 90,000원 / A석 60,000원 / B석 30,000원 / C석 10,000원",
KBS교향악단 제800회 정기연주회,2024-03-29,https://www.sac.or.kr/site/main/show/show_view?SN=60869,R석 12만원 / S석 10만원 / A석 7만원 / B석 3만원 / C석 1만원,2023-12-15
스즈메의 문단속 공식 필름 콘서트,2024-03-30,https://www.sac.or.kr/site/main/show/show_view?SN=68380,"R석 140,000원 / S석 120,000원 / A석 90,000원 / B석 60,000원",예매 일정 없음
프리모 깐딴떼 제25회 정기연주회,2024-03-12,https://www.sac.or.kr/site/main/show/show_view?SN=62072,"R석 150,000원 / S석 100,000원 / A석 80,000원 / B석 50,000원",예매 일정 없음
안네 소피 무터 바이올린 리사이틀,2024-03-13,https://www.sac.or.kr/site/main/show/show_view?SN=60824,"R석 180,000원 / S석 150,000원 / A석 100,000원 / B석 50,000원",예매 일정 없음
한화생명과 함께하는 예술의전당 11시 콘서트(3월),2024-03-14,https://www.sac.or.kr/site/main/show/show_view?SN=60246,"일반석 30,000원 / 3층석 15,000원 ",2024-02-06
경기필하모닉 마스터즈 시리즈 I _ 베토벤 교향곡 3번,2024-03-15,https://www.sac.or.kr/site/main/show/show_view?SN=60965,"R석 80,000원 / S석 60,000원 / A석 50,000원 / B석 30,000원 / C석 20,000원",
2024 예술의전당 토요콘서트(3월),2024-03-16,https://www.sac.or.kr/site/main/show/show_view?SN=60245,"일반석 40,000원 / 3층석 20,000원",2024-01-16
연광철 & 선우예권 `시인의 사랑`,2024-03-17,https://www.sac.or.kr/site/main/show/show_view?SN=62351,"R석 110,000원 / S석 80,000원 / A석 50,000원",2023-12-07
국립합창단 제197회 정기연주회 민인기 예술감독 취임연주회 <전쟁 그리고 평화>,2024-03-19,https://www.sac.or.kr/site/main/show/show_view?SN=62238,"R석 50,000원 / S석 30,000원 / A석 20,000원",2024-02-27
빈 심포니와 함께하는 KB 국민함께 콘서트,2024-03-20,https://www.sac.or.kr/site/main/show/show_view?SN=60807,기업전관(전석 초대공연),예매 일정 없음
창단 35주년 기념 마스터피스 시리즈Ⅳ  서울모테트합창단 제126회 정기연주회 바흐의 [b단조 미사],2024-03-21,https://www.sac.or.kr/site/main/show/show_view?SN=60777,"R석 100,000원 / S석 70,000원 / A석 50,000원 / B석 30,000원 / C석 20,000원",
한화와 함께하는 2024 교향악축제 - 군포 프라임필하모닉오케스트라 (4.23),2024-04-23,https://www.sac.or.kr/site/main/show/show_view?SN=60224,"R석 50,000원 / S석 40,000원 / A석 30,000원 / B석 10,000원",2024-02-16
